               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 146,             0.01832,            0.029976,          0.00068581,             0.90671,             0.92111,             0.95692,             0.77997,            0.017098,            0.021211,           0.0011115,           0.0028225,           0.0028225,           0.0028225
                 147,            0.018366,            0.030672,          0.00064395,             0.91119,             0.92026,             0.95745,             0.77766,            0.017242,              0.0213,           0.0012549,            0.002773,            0.002773,            0.002773
                 148,            0.017806,            0.029797,          0.00068529,             0.90905,             0.91661,             0.95535,             0.77789,            0.017183,            0.021458,           0.0012119,           0.0027235,           0.0027235,           0.0027235
                 149,             0.01795,            0.029431,          0.00070329,             0.90821,             0.91673,             0.95551,             0.77685,            0.017203,            0.021526,           0.0011136,            0.002674,            0.002674,            0.002674
                 150,            0.018173,            0.029489,          0.00069212,             0.90826,             0.91265,             0.95607,              0.7776,            0.017131,            0.021559,           0.0010572,           0.0026245,           0.0026245,           0.0026245
                 151,            0.018274,            0.030685,          0.00064966,             0.90764,               0.912,             0.95595,             0.77891,            0.017102,            0.021591,           0.0010269,            0.002575,            0.002575,            0.002575
                 152,            0.018088,            0.029666,          0.00068197,             0.90596,             0.91901,             0.95588,             0.77739,            0.017125,            0.021612,           0.0010474,           0.0025255,           0.0025255,           0.0025255
                 153,            0.018012,            0.029633,          0.00064631,             0.90304,             0.91813,             0.95533,             0.77946,            0.017223,            0.021631,           0.0010603,            0.002476,            0.002476,            0.002476
                 154,            0.017801,            0.028751,          0.00066153,             0.90205,             0.91639,             0.95515,             0.77926,            0.017169,            0.021667,           0.0012381,           0.0024265,           0.0024265,           0.0024265
                 155,            0.018197,             0.02983,          0.00064003,             0.90491,              0.9151,             0.95508,             0.77947,            0.017072,            0.021712,           0.0011117,            0.002377,            0.002377,            0.002377
                 156,            0.017818,            0.029914,          0.00060064,             0.89869,             0.92123,              0.9559,             0.78019,            0.017026,            0.021604,           0.0010741,           0.0023275,           0.0023275,           0.0023275
                 157,            0.017889,            0.029332,          0.00075826,             0.90967,              0.9105,              0.9564,             0.78002,            0.016994,            0.021578,           0.0011233,            0.002278,            0.002278,            0.002278
